Signature,Spearman_r,P_value,N_samples,Abs_correlation
SBS18_CA_CT,0.5506607487916229,7.194711872688188e-13,145,0.5506607487916229
SBS1_CT,0.5486568915840275,9.047883217196115e-13,145,0.5486568915840275
SBS5_CT_TC,0.5486568915840275,9.047883217196115e-13,145,0.5486568915840275
SBS4_CA,0.41259557829662585,2.510285783064341e-07,145,0.41259557829662585
